State;Action;Count
Generate-1;Generate;57
Generate, GeneticSequencer-1;Generate;4
Generate, GeneticSequencer-1;GeneticSequencer;3
Generate, Research, GeneticSequencer-1;Research;1
Generate, Stabilize-2;Generate;7
Generate, Stabilize-2;Stabilize;24
Generate, Stabilize, Recycle-2;Generate;14
Generate, Stabilize, Recycle-2;Stabilize;99
Generate, Stabilize, Recycle-2;Recycle;24
Generate, Research, Stabilize, Recycle-2;Research;2
Generate, Research, Stabilize, Recycle-2;Recycle;4
Generate, GeneticSequencer, Stabilize, Recycle-2;GeneticSequencer;1
Generate, Stabilize, Recycle, DNASynthesizer-2;Stabilize;3
Generate, Stabilize, Recycle, DNASynthesizer-2;DNASynthesizer;3
Generate, Stabilize, Recycle, HelixSplitter-2;Stabilize;5
Generate, Stabilize, Recycle, HelixSplitter-2;HelixSplitter;3
Generate, Stabilize, Recycle, DNASynthesizer, HelixSplitter-2;Stabilize;1
Generate, Stabilize, Recycle, DNASynthesizer, HelixSplitter-2;DNASynthesizer;1
Generate, Stabilize, Recycle-3;Stabilize;20
Generate, Stabilize, Recycle-3;Recycle;2
Generate, Stabilize, Recycle, Synthesize-3;Generate;6
Generate, Stabilize, Recycle, Synthesize-3;Stabilize;42
Generate, Stabilize, Recycle, Synthesize-3;Recycle;13
Generate, Stabilize, Recycle, Synthesize-3;Synthesize;4
Generate, Stabilize, Recycle, DNASynthesizer, Synthesize-3;Stabilize;1
Generate, Stabilize, Recycle, DNASynthesizer, Synthesize-3;DNASynthesizer;1
Generate, Stabilize, Recycle, AlignMutagen-3;Stabilize;23
Generate, Stabilize, Recycle, AlignMutagen-3;Recycle;2
Generate, Stabilize, Recycle, AlignMutagen-3;AlignMutagen;9
Generate, Stabilize, Recycle, Synthesize, AlignMutagen-3;Generate;28
Generate, Stabilize, Recycle, Synthesize, AlignMutagen-3;Stabilize;10
Generate, Stabilize, Recycle, Synthesize, AlignMutagen-3;Recycle;42
Generate, Stabilize, Recycle, Synthesize, AlignMutagen-3;Synthesize;19
Generate, Stabilize, Recycle, Synthesize, AlignMutagen-3;AlignMutagen;5
Generate, Research, Stabilize, Recycle, Synthesize, AlignMutagen-3;Research;1
Generate, Research, Stabilize, Recycle, Synthesize, AlignMutagen-3;Recycle;2
Generate, Stabilize, Recycle, AlignMutagen, RecessiveAlignment-3;Stabilize;15
Generate, Stabilize, Recycle, AlignMutagen, RecessiveAlignment-3;Recycle;1
Generate, Stabilize, Recycle, AlignMutagen, RecessiveAlignment-3;AlignMutagen;13
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-3;Generate;25
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-3;Stabilize;7
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-3;Recycle;31
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-3;Synthesize;23
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-3;AlignMutagen;5
Generate, Research, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-3;Generate;1
Generate, Research, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-3;Research;1
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, DominantAlignment, RecessiveAlignment-3;Synthesize;3
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, DominantAlignment, RecessiveAlignment-3;DominantAlignment;1
Generate, Stabilize, Recycle, Synthesize-4;Generate;14
Generate, Stabilize, Recycle, Synthesize-4;Stabilize;9
Generate, Stabilize, Recycle, Synthesize-4;Recycle;3
Generate, Stabilize, Recycle, Synthesize-4;Synthesize;3
Generate, Stabilize, Recycle, Synthesize, AlignMutagen-4;Synthesize;9
Generate, Stabilize, Recycle, Synthesize, AlignMutagen-4;AlignMutagen;11
Generate, Stabilize, Recycle, AlignMutagen, RecessiveAlignment-4;Stabilize;19
Generate, Stabilize, Recycle, AlignMutagen, RecessiveAlignment-4;Recycle;2
Generate, Stabilize, Recycle, AlignMutagen, RecessiveAlignment-4;AlignMutagen;1
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-4;Generate;16
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-4;Stabilize;38
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-4;Recycle;63
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-4;Synthesize;60
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment-4;AlignMutagen;51
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, Construct-4;Generate;15
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, Construct-4;Stabilize;16
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, Construct-4;Recycle;15
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, Construct-4;AlignMutagen;2
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, Construct-4;Construct;2
Generate, Stabilize, Recycle, AlignMutagen, RecessiveAlignment, Construct-4;AlignMutagen;1
Generate, Stabilize, Recycle, AlignMutagen, RecessiveAlignment, Construct-4;Construct;3
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment, Construct-4;AlignMutagen;17
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, RecessiveAlignment, Construct-4;Construct;5
Generate, Stabilize, Recycle, Synthesize, AlignMutagen, Construct, Release-4;Recycle;2
SeeStats, Restart-4;Release;1
